Date,Station,Category,Value
2007-01-06,Changi,Max Temperature,32.0
2007-01-07,Changi,Max Temperature,32.0
2007-01-08,Changi,Max Temperature,32.0
2007-01-17,Changi,Max Temperature,32.0
2007-01-18,Changi,Max Temperature,32.0
2007-01-25,Changi,Min Temperature,23.0
2007-02-15,Changi,Max Temperature,33.0
2007-02-16,Changi,Max Temperature,33.0
2007-02-26,Changi,Max Temperature,33.0
2007-02-26,Changi,Min Temperature,23.0
2007-03-15,Changi,Max Temperature,33.0
2007-03-17,Changi,Max Temperature,33.0
2007-03-25,Changi,Max Temperature,33.0
2007-03-01,Changi,Min Temperature,23.0
2007-04-23,Changi,Max Temperature,34.0
2007-04-25,Changi,Max Temperature,34.0
2007-04-30,Changi,Min Temperature,23.0
2007-05-07,Changi,Max Temperature,33.0
2007-05-13,Changi,Max Temperature,33.0
2007-05-19,Changi,Max Temperature,33.0
2007-05-02,Changi,Min Temperature,23.0
2007-05-15,Changi,Min Temperature,23.0
2007-06-10,Changi,Max Temperature,34.0
2007-06-19,Changi,Max Temperature,34.0
2007-06-26,Changi,Min Temperature,22.0
2007-07-02,Changi,Max Temperature,33.0
2007-07-04,Changi,Max Temperature,33.0
2007-07-06,Changi,Max Temperature,33.0
2007-07-07,Changi,Min Temperature,23.0
2007-08-02,Changi,Max Temperature,32.0
2007-08-05,Changi,Max Temperature,32.0
2007-08-06,Changi,Max Temperature,32.0
2007-08-07,Changi,Max Temperature,32.0
2007-08-08,Changi,Max Temperature,32.0
2007-08-10,Changi,Max Temperature,32.0
2007-08-11,Changi,Max Temperature,32.0
2007-08-12,Changi,Max Temperature,32.0
2007-08-13,Changi,Max Temperature,32.0
2007-08-21,Changi,Max Temperature,32.0
2007-08-23,Changi,Max Temperature,32.0
2007-08-31,Changi,Max Temperature,32.0
2007-08-09,Changi,Min Temperature,23.0
2007-09-05,Changi,Max Temperature,32.0
2007-09-06,Changi,Max Temperature,32.0
2007-09-07,Changi,Max Temperature,32.0
2007-09-11,Changi,Max Temperature,32.0
2007-09-18,Changi,Max Temperature,32.0
2007-09-19,Changi,Max Temperature,32.0
2007-09-20,Changi,Max Temperature,32.0
2007-09-21,Changi,Max Temperature,32.0
2007-09-22,Changi,Max Temperature,32.0
2007-09-23,Changi,Max Temperature,32.0
2007-09-25,Changi,Max Temperature,32.0
2007-09-26,Changi,Max Temperature,32.0
2007-09-28,Changi,Max Temperature,32.0
2007-09-29,Changi,Max Temperature,32.0
2007-09-30,Changi,Max Temperature,32.0
2007-09-23,Changi,Min Temperature,23.0
2007-09-24,Changi,Min Temperature,23.0
2007-09-27,Changi,Min Temperature,23.0
2007-10-04,Changi,Max Temperature,33.0
2007-10-05,Changi,Max Temperature,33.0
2007-10-06,Changi,Max Temperature,33.0
2007-10-17,Changi,Max Temperature,33.0
2007-10-28,Changi,Max Temperature,33.0
2007-10-02,Changi,Min Temperature,23.0
2007-10-31,Changi,Min Temperature,23.0
2007-11-09,Changi,Max Temperature,33.0
2007-11-24,Changi,Max Temperature,33.0
2007-11-02,Changi,Min Temperature,22.0
2007-12-03,Changi,Max Temperature,32.0
2007-12-23,Changi,Max Temperature,32.0
2007-12-20,Changi,Min Temperature,23.0
2007-12-21,Changi,Min Temperature,23.0
2017-01-08,Changi,Max Temperature,34.0
2017-01-11,Changi,Min Temperature,23.0
2017-01-25,Changi,Min Temperature,23.0
2017-02-03,Changi,Max Temperature,32.0
2017-02-05,Changi,Max Temperature,32.0
2017-02-15,Changi,Min Temperature,23.0
2017-03-15,Changi,Max Temperature,33.0
2017-03-18,Changi,Max Temperature,33.0
2017-03-21,Changi,Max Temperature,33.0
2017-03-26,Changi,Max Temperature,33.0
2017-03-01,Changi,Min Temperature,23.0
2017-04-07,Changi,Max Temperature,34.0
2017-04-07,Changi,Min Temperature,23.0
2017-04-12,Changi,Min Temperature,23.0
2017-04-28,Changi,Min Temperature,23.0
2017-05-03,Changi,Max Temperature,32.0
2017-05-04,Changi,Max Temperature,32.0
2017-05-05,Changi,Max Temperature,32.0
2017-05-09,Changi,Max Temperature,32.0
2017-05-13,Changi,Max Temperature,32.0
2017-05-17,Changi,Max Temperature,32.0
2017-05-18,Changi,Max Temperature,32.0
2017-05-20,Changi,Max Temperature,32.0
2017-05-21,Changi,Max Temperature,32.0
2017-05-23,Changi,Max Temperature,32.0
2017-05-25,Changi,Max Temperature,32.0
2017-05-29,Changi,Max Temperature,32.0
2017-05-31,Changi,Max Temperature,32.0
2017-05-22,Changi,Min Temperature,24.0
2017-05-24,Changi,Min Temperature,24.0
2017-05-30,Changi,Min Temperature,24.0
2017-05-31,Changi,Min Temperature,24.0
2017-06-14,Changi,Max Temperature,33.0
2017-06-15,Changi,Max Temperature,33.0
2017-06-17,Changi,Max Temperature,33.0
2017-06-23,Changi,Min Temperature,23.0
2017-07-01,Changi,Max Temperature,32.0
2017-07-21,Changi,Max Temperature,32.0
2017-07-22,Changi,Max Temperature,32.0
2017-07-23,Changi,Max Temperature,32.0
2017-07-24,Changi,Max Temperature,32.0
2017-07-25,Changi,Max Temperature,32.0
2017-07-28,Changi,Max Temperature,32.0
2017-07-29,Changi,Max Temperature,32.0
2017-07-31,Changi,Max Temperature,32.0
2017-07-05,Changi,Min Temperature,24.0
2017-07-09,Changi,Min Temperature,24.0
2017-07-12,Changi,Min Temperature,24.0
2017-07-14,Changi,Min Temperature,24.0
2017-08-01,Changi,Max Temperature,32.0
2017-08-02,Changi,Max Temperature,32.0
2017-08-03,Changi,Max Temperature,32.0
2017-08-04,Changi,Max Temperature,32.0
2017-08-05,Changi,Max Temperature,32.0
2017-08-06,Changi,Max Temperature,32.0
2017-08-17,Changi,Max Temperature,32.0
2017-08-20,Changi,Max Temperature,32.0
2017-08-21,Changi,Max Temperature,32.0
2017-08-09,Changi,Min Temperature,24.0
2017-08-12,Changi,Min Temperature,24.0
2017-08-17,Changi,Min Temperature,24.0
2017-09-02,Changi,Max Temperature,32.0
2017-09-04,Changi,Max Temperature,32.0
2017-09-13,Changi,Max Temperature,32.0
2017-09-17,Changi,Max Temperature,32.0
2017-09-23,Changi,Max Temperature,32.0
2017-09-26,Changi,Max Temperature,32.0
2017-09-16,Changi,Min Temperature,22.0
2017-10-18,Changi,Max Temperature,34.0
2017-10-28,Changi,Max Temperature,34.0
2017-10-09,Changi,Min Temperature,24.0
2017-10-10,Changi,Min Temperature,24.0
2017-10-11,Changi,Min Temperature,24.0
2017-10-12,Changi,Min Temperature,24.0
2017-10-13,Changi,Min Temperature,24.0
2017-10-23,Changi,Min Temperature,24.0
2017-10-29,Changi,Min Temperature,24.0
2017-10-31,Changi,Min Temperature,24.0
2017-11-19,Changi,Max Temperature,33.0
2017-11-06,Changi,Min Temperature,23.0
2017-11-10,Changi,Min Temperature,23.0
2017-11-14,Changi,Min Temperature,23.0
2017-11-21,Changi,Min Temperature,23.0
2017-12-01,Changi,Max Temperature,33.0
2017-12-13,Changi,Min Temperature,23.0
2007-01-02,Changi,Max Humidity,100.0
2007-01-03,Changi,Max Humidity,100.0
2007-01-04,Changi,Max Humidity,100.0
2007-01-08,Changi,Max Humidity,100.0
2007-01-09,Changi,Max Humidity,100.0
2007-01-10,Changi,Max Humidity,100.0
2007-01-11,Changi,Max Humidity,100.0
2007-01-12,Changi,Max Humidity,100.0
2007-01-13,Changi,Max Humidity,100.0
2007-01-14,Changi,Max Humidity,100.0
2007-01-15,Changi,Max Humidity,100.0
2007-01-17,Changi,Max Humidity,100.0
2007-01-19,Changi,Max Humidity,100.0
2007-01-20,Changi,Max Humidity,100.0
2007-01-21,Changi,Max Humidity,100.0
