Date,Station,Category,Value
2002-04-23,Paya Lebar,Max Temperature,26.0
2002-04-23,Paya Lebar,Min Temperature,26.0
2002-06-20,Paya Lebar,Max Temperature,29.0
2002-06-20,Paya Lebar,Min Temperature,29.0
2012-01-15,Paya Lebar,Max Temperature,34.0
2012-01-15,Paya Lebar,Min Temperature,23.0
2012-01-21,Paya Lebar,Min Temperature,23.0
2012-01-31,Paya Lebar,Min Temperature,23.0
2012-02-24,Paya Lebar,Max Temperature,35.0
2012-02-02,Paya Lebar,Min Temperature,23.0
2012-02-19,Paya Lebar,Min Temperature,23.0
2012-03-17,Paya Lebar,Max Temperature,34.0
2012-03-23,Paya Lebar,Max Temperature,34.0
2012-03-05,Paya Lebar,Min Temperature,23.0
2012-03-27,Paya Lebar,Min Temperature,23.0
2012-04-28,Paya Lebar,Max Temperature,35.0
2012-04-02,Paya Lebar,Min Temperature,22.0
2012-05-08,Paya Lebar,Max Temperature,35.0
2012-05-07,Paya Lebar,Min Temperature,23.0
2012-05-16,Paya Lebar,Min Temperature,23.0
2012-05-17,Paya Lebar,Min Temperature,23.0
2012-06-07,Paya Lebar,Max Temperature,34.0
2012-06-14,Paya Lebar,Max Temperature,34.0
2012-06-22,Paya Lebar,Max Temperature,34.0
2012-06-09,Paya Lebar,Min Temperature,25.0
2012-07-01,Paya Lebar,Max Temperature,32.0
2012-07-08,Paya Lebar,Max Temperature,32.0
2012-07-10,Paya Lebar,Max Temperature,32.0
2012-07-21,Paya Lebar,Max Temperature,32.0
2012-07-22,Paya Lebar,Max Temperature,32.0
2012-07-24,Paya Lebar,Max Temperature,32.0
2012-07-25,Paya Lebar,Max Temperature,32.0
2012-07-26,Paya Lebar,Max Temperature,32.0
2012-07-27,Paya Lebar,Max Temperature,32.0
2012-07-28,Paya Lebar,Max Temperature,32.0
2012-07-30,Paya Lebar,Max Temperature,32.0
2012-07-31,Paya Lebar,Max Temperature,32.0
2012-07-03,Paya Lebar,Min Temperature,24.0
2012-07-04,Paya Lebar,Min Temperature,24.0
2012-07-05,Paya Lebar,Min Temperature,24.0
2012-07-08,Paya Lebar,Min Temperature,24.0
2012-08-14,Paya Lebar,Max Temperature,33.0
2012-08-19,Paya Lebar,Max Temperature,33.0
2012-08-24,Paya Lebar,Max Temperature,33.0
2012-08-23,Paya Lebar,Min Temperature,24.0
2012-08-27,Paya Lebar,Min Temperature,24.0
2012-08-31,Paya Lebar,Min Temperature,24.0
2012-09-27,Paya Lebar,Max Temperature,34.0
2012-09-28,Paya Lebar,Max Temperature,34.0
2012-09-27,Paya Lebar,Min Temperature,23.0
2012-10-01,Paya Lebar,Max Temperature,35.0
2012-10-25,Paya Lebar,Max Temperature,35.0
2012-10-26,Paya Lebar,Max Temperature,35.0
2012-10-28,Paya Lebar,Max Temperature,35.0
2012-10-07,Paya Lebar,Min Temperature,24.0
2012-10-20,Paya Lebar,Min Temperature,24.0
2012-11-02,Paya Lebar,Max Temperature,34.0
2012-11-17,Paya Lebar,Max Temperature,34.0
2012-11-03,Paya Lebar,Min Temperature,24.0
2012-11-05,Paya Lebar,Min Temperature,24.0
2012-11-17,Paya Lebar,Min Temperature,24.0
2012-11-23,Paya Lebar,Min Temperature,24.0
2012-12-21,Paya Lebar,Max Temperature,34.0
2012-12-31,Paya Lebar,Min Temperature,23.0
2002-04-23,Paya Lebar,Max Humidity,94.23
2002-04-23,Paya Lebar,Min Humidity,94.23
2002-06-20,Paya Lebar,Max Humidity,79.04
2002-06-20,Paya Lebar,Min Humidity,74.44
2012-01-02,Paya Lebar,Max Humidity,100.0
2012-01-21,Paya Lebar,Max Humidity,100.0
2012-01-31,Paya Lebar,Max Humidity,100.0
2012-01-15,Paya Lebar,Min Humidity,43.88
2012-02-02,Paya Lebar,Max Humidity,100.0
2012-02-08,Paya Lebar,Min Humidity,43.88
2012-03-02,Paya Lebar,Max Humidity,100.0
2012-03-14,Paya Lebar,Max Humidity,100.0
2012-03-31,Paya Lebar,Max Humidity,100.0
2012-03-08,Paya Lebar,Min Humidity,49.36
2012-04-02,Paya Lebar,Max Humidity,100.0
2012-04-04,Paya Lebar,Max Humidity,100.0
2012-04-01,Paya Lebar,Min Humidity,46.41
2012-05-16,Paya Lebar,Max Humidity,100.0
2012-05-17,Paya Lebar,Max Humidity,100.0
2012-05-08,Paya Lebar,Min Humidity,46.93
2012-06-05,Paya Lebar,Max Humidity,94.27
2012-06-07,Paya Lebar,Min Humidity,49.62
2012-06-14,Paya Lebar,Min Humidity,49.62
2012-06-22,Paya Lebar,Min Humidity,49.62
2012-07-05,Paya Lebar,Max Humidity,100.0
2012-07-08,Paya Lebar,Min Humidity,52.23
2012-07-24,Paya Lebar,Min Humidity,52.23
2012-07-25,Paya Lebar,Min Humidity,52.23
2012-08-03,Paya Lebar,Max Humidity,94.23
2012-08-04,Paya Lebar,Max Humidity,94.23
2012-08-27,Paya Lebar,Max Humidity,94.23
2012-08-28,Paya Lebar,Max Humidity,94.23
2012-08-30,Paya Lebar,Max Humidity,94.23
2012-08-31,Paya Lebar,Max Humidity,94.23
2012-08-08,Paya Lebar,Min Humidity,51.98
2012-09-08,Paya Lebar,Max Humidity,100.0
2012-09-27,Paya Lebar,Max Humidity,100.0
2012-09-26,Paya Lebar,Min Humidity,23.93
2012-10-20,Paya Lebar,Max Humidity,100.0
2012-10-24,Paya Lebar,Min Humidity,46.41
2012-11-15,Paya Lebar,Max Humidity,100.0
2012-11-17,Paya Lebar,Max Humidity,100.0
2012-11-22,Paya Lebar,Max Humidity,100.0
2012-11-23,Paya Lebar,Max Humidity,100.0
2012-11-02,Paya Lebar,Min Humidity,25.79
2012-12-03,Paya Lebar,Max Humidity,100.0
2012-12-11,Paya Lebar,Max Humidity,100.0
2012-12-13,Paya Lebar,Max Humidity,100.0
2012-12-20,Paya Lebar,Max Humidity,100.0
2012-12-30,Paya Lebar,Max Humidity,100.0
2012-12-31,Paya Lebar,Max Humidity,100.0
2012-12-04,Paya Lebar,Min Humidity,55.77
