Date,Station,Category,Value
2003-01-01,Changi,Max Temperature,32.0
2003-01-03,Changi,Min Temperature,24.0
2003-02-09,Changi,Max Temperature,32.0
2003-02-01,Changi,Min Temperature,24.0
2003-03-02,Changi,Max Temperature,33.0
2003-03-08,Changi,Min Temperature,23.0
2003-04-03,Changi,Max Temperature,33.0
2003-04-04,Changi,Min Temperature,24.0
2003-05-17,Changi,Max Temperature,34.0
2003-05-14,Changi,Min Temperature,24.0
2003-06-03,Changi,Max Temperature,34.0
2003-06-17,Changi,Min Temperature,23.0
2003-07-01,Changi,Max Temperature,32.0
2003-07-08,Changi,Min Temperature,23.0
2003-08-12,Changi,Max Temperature,33.0
2003-08-05,Changi,Min Temperature,24.0
2003-09-07,Changi,Max Temperature,33.0
2003-09-02,Changi,Min Temperature,23.0
2003-10-22,Changi,Max Temperature,33.0
2003-10-15,Changi,Min Temperature,23.0
2003-11-06,Changi,Max Temperature,33.0
2003-11-01,Changi,Min Temperature,23.0
2003-12-01,Changi,Max Temperature,32.0
2003-12-17,Changi,Min Temperature,23.0
2013-01-07,Changi,Max Temperature,35.0
2013-01-09,Changi,Min Temperature,22.0
2013-02-02,Changi,Max Temperature,32.0
2013-02-10,Changi,Min Temperature,22.0
2013-03-01,Changi,Max Temperature,33.0
2013-03-12,Changi,Min Temperature,24.0
2013-04-18,Changi,Max Temperature,35.0
2013-04-14,Changi,Min Temperature,22.0
2013-05-06,Changi,Max Temperature,33.0
2013-05-16,Changi,Min Temperature,23.0
2013-06-18,Changi,Max Temperature,34.0
2013-06-01,Changi,Min Temperature,23.0
2013-07-21,Changi,Max Temperature,33.0
2013-07-09,Changi,Min Temperature,23.0
2013-08-17,Changi,Max Temperature,32.0
2013-08-01,Changi,Min Temperature,22.0
2013-09-24,Changi,Max Temperature,33.0
2013-09-07,Changi,Min Temperature,22.0
2013-10-07,Changi,Max Temperature,33.0
2013-10-15,Changi,Min Temperature,21.0
2013-11-21,Changi,Max Temperature,33.0
2013-11-05,Changi,Min Temperature,23.0
2013-12-16,Changi,Max Temperature,34.0
2013-12-18,Changi,Min Temperature,21.0
2003-01-01,Changi,Max Humidity,100.0
2003-01-09,Changi,Min Humidity,55.04
2003-02-01,Changi,Max Humidity,100.0
2003-02-23,Changi,Min Humidity,58.78
2003-03-03,Changi,Max Humidity,100.0
2003-03-16,Changi,Min Humidity,55.53
2003-04-01,Changi,Max Humidity,100.0
2003-04-27,Changi,Min Humidity,52.48
2003-05-01,Changi,Max Humidity,100.0
2003-05-19,Changi,Min Humidity,43.88
2003-06-08,Changi,Max Humidity,100.0
2003-06-20,Changi,Min Humidity,40.96
2003-07-01,Changi,Max Humidity,100.0
2003-07-23,Changi,Min Humidity,55.29
2003-08-02,Changi,Max Humidity,100.0
2003-08-20,Changi,Min Humidity,49.36
2003-09-02,Changi,Max Humidity,100.0
2003-09-16,Changi,Min Humidity,46.14
2003-10-03,Changi,Max Humidity,100.0
2003-10-24,Changi,Min Humidity,55.77
2003-11-01,Changi,Max Humidity,100.0
2003-11-07,Changi,Min Humidity,59.01
2003-12-01,Changi,Max Humidity,100.0
2003-12-25,Changi,Min Humidity,58.78
2013-01-02,Changi,Max Humidity,100.0
2013-01-07,Changi,Min Humidity,41.5
2013-02-03,Changi,Max Humidity,100.0
2013-02-02,Changi,Min Humidity,55.53
2013-03-01,Changi,Max Humidity,100.0
2013-03-15,Changi,Min Humidity,49.36
2013-04-01,Changi,Max Humidity,100.0
2013-04-18,Changi,Min Humidity,46.67
2013-05-02,Changi,Max Humidity,100.0
2013-05-17,Changi,Min Humidity,46.41
2013-06-01,Changi,Max Humidity,100.0
2013-06-20,Changi,Min Humidity,38.45
2013-07-09,Changi,Max Humidity,100.0
2013-07-21,Changi,Min Humidity,43.61
2013-08-01,Changi,Max Humidity,100.0
2013-08-24,Changi,Min Humidity,52.23
2013-09-02,Changi,Max Humidity,100.0
2013-09-24,Changi,Min Humidity,49.36
2013-10-09,Changi,Max Humidity,100.0
2013-10-08,Changi,Min Humidity,46.41
2013-11-01,Changi,Max Humidity,100.0
2013-11-21,Changi,Min Humidity,49.36
2013-12-01,Changi,Max Humidity,100.0
2013-12-16,Changi,Min Humidity,46.41
