Date,Station,Category,Value
2003-01-01,Changi,Max Temperature,32.0
2003-01-02,Changi,Max Temperature,32.0
2003-01-15,Changi,Max Temperature,32.0
2003-01-26,Changi,Max Temperature,32.0
2003-01-03,Changi,Min Temperature,24.0
2003-01-04,Changi,Min Temperature,24.0
2003-01-08,Changi,Min Temperature,24.0
2003-01-11,Changi,Min Temperature,24.0
2003-01-12,Changi,Min Temperature,24.0
2003-01-19,Changi,Min Temperature,24.0
2003-01-30,Changi,Min Temperature,24.0
2003-01-31,Changi,Min Temperature,24.0
2003-02-09,Changi,Max Temperature,32.0
2003-02-11,Changi,Max Temperature,32.0
2003-02-17,Changi,Max Temperature,32.0
2003-02-22,Changi,Max Temperature,32.0
2003-02-23,Changi,Max Temperature,32.0
2003-02-24,Changi,Max Temperature,32.0
2003-02-25,Changi,Max Temperature,32.0
2003-02-26,Changi,Max Temperature,32.0
2003-02-28,Changi,Max Temperature,32.0
2003-02-01,Changi,Min Temperature,24.0
2003-02-03,Changi,Min Temperature,24.0
2003-02-05,Changi,Min Temperature,24.0
2003-02-07,Changi,Min Temperature,24.0
2003-02-08,Changi,Min Temperature,24.0
2003-02-16,Changi,Min Temperature,24.0
2003-02-17,Changi,Min Temperature,24.0
2003-02-19,Changi,Min Temperature,24.0
2003-03-02,Changi,Max Temperature,33.0
2003-03-04,Changi,Max Temperature,33.0
2003-03-07,Changi,Max Temperature,33.0
2003-03-08,Changi,Max Temperature,33.0
2003-03-18,Changi,Max Temperature,33.0
2003-03-22,Changi,Max Temperature,33.0
2003-03-08,Changi,Min Temperature,23.0
2003-04-03,Changi,Max Temperature,33.0
2003-04-04,Changi,Max Temperature,33.0
2003-04-05,Changi,Max Temperature,33.0
2003-04-07,Changi,Max Temperature,33.0
2003-04-25,Changi,Max Temperature,33.0
2003-04-27,Changi,Max Temperature,33.0
2003-04-29,Changi,Max Temperature,33.0
2003-04-04,Changi,Min Temperature,24.0
2003-05-17,Changi,Max Temperature,34.0
2003-05-19,Changi,Max Temperature,34.0
2003-05-20,Changi,Max Temperature,34.0
2003-05-24,Changi,Max Temperature,34.0
2003-05-26,Changi,Max Temperature,34.0
2003-05-27,Changi,Max Temperature,34.0
2003-05-14,Changi,Min Temperature,24.0
2003-05-31,Changi,Min Temperature,24.0
2003-06-03,Changi,Max Temperature,34.0
2003-06-04,Changi,Max Temperature,34.0
2003-06-06,Changi,Max Temperature,34.0
2003-06-20,Changi,Max Temperature,34.0
2003-06-23,Changi,Max Temperature,34.0
2003-06-17,Changi,Min Temperature,23.0
2003-07-01,Changi,Max Temperature,32.0
2003-07-02,Changi,Max Temperature,32.0
2003-07-05,Changi,Max Temperature,32.0
